,status_group
46645,functional needs repair
46646,functional needs repair
46647,functional needs repair
46648,functional needs repair
46649,functional needs repair
46650,functional needs repair
46651,functional needs repair
46652,functional needs repair
46653,functional needs repair
46654,functional needs repair
46655,functional needs repair
46656,functional needs repair
46657,functional needs repair
46658,functional needs repair
46659,functional needs repair
46660,functional needs repair
46661,functional needs repair
46662,functional needs repair
46663,functional needs repair
46664,functional needs repair
46665,functional needs repair
46666,functional needs repair
46667,functional needs repair
46668,functional needs repair
46669,functional needs repair
46670,functional needs repair
46671,functional needs repair
46672,functional needs repair
46673,functional needs repair
46674,functional needs repair
46675,functional needs repair
46676,functional needs repair
46677,functional needs repair
46678,functional needs repair
46679,functional needs repair
46680,functional needs repair
46681,functional needs repair
46682,functional needs repair
46683,functional needs repair
46684,functional needs repair
46685,functional needs repair
46686,functional needs repair
46687,functional needs repair
46688,functional needs repair
46689,functional needs repair
46690,functional needs repair
46691,functional needs repair
46692,functional needs repair
46693,functional needs repair
46694,functional needs repair
46695,functional needs repair
46696,functional needs repair
46697,functional needs repair
46698,functional needs repair
46699,functional needs repair
46700,functional needs repair
46701,functional needs repair
46702,functional needs repair
46703,functional needs repair
46704,functional needs repair
46705,functional needs repair
46706,functional needs repair
46707,functional needs repair
46708,functional needs repair
46709,functional needs repair
46710,functional needs repair
46711,functional needs repair
46712,functional needs repair
46713,functional needs repair
46714,functional needs repair
46715,functional needs repair
46716,functional needs repair
46717,functional needs repair
46718,functional needs repair
46719,functional needs repair
46720,functional needs repair
46721,functional needs repair
46722,functional needs repair
46723,functional needs repair
46724,functional needs repair
46725,functional needs repair
46726,functional needs repair
46727,functional needs repair
46728,functional needs repair
46729,functional needs repair
46730,functional needs repair
46731,functional needs repair
46732,functional needs repair
46733,functional needs repair
46734,functional needs repair
46735,functional needs repair
46736,functional needs repair
46737,functional needs repair
46738,functional needs repair
46739,functional needs repair
46740,functional needs repair
46741,functional needs repair
46742,functional needs repair
46743,functional needs repair
46744,functional needs repair
46745,functional needs repair
